Country,Year,Population,Deaths,Death Rate
"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2020,519811603.0,0.0,0.0
European Union - 27 countries (from 2020),2020,447015600.0,0.0,0.0
Euro area – 20 countries (from 2023),2020,346625682.0,0.0,0.0
Germany,2020,83166711.0,2890473.0,0.0347551678459425
Germany including former GDR,2020,83166711.0,0.0,0.0
Türkiye,2020,83154997.0,0.0,0.0
France,2020,67473651.0,9284524.0,0.1376022174937591
United Kingdom,2020,67025542.0,15831662.0,0.2362034163035936
Italy,2020,59641488.0,10582442.0,0.1774342383945887
Spain,2020,47318050.0,8720097.0,0.1842869053141454
Ukraine,2020,41732779.0,1240038.0,0.0297137652874734
Poland,2020,37958138.0,1422334.0,0.0374711214759796
Romania,2020,19328838.0,1248293.0,0.0645818957145794
Netherlands,2020,17407585.0,1819728.0,0.1045364994627342
European Free Trade Association,2020,14376494.0,0.0,0.0
Belgium,2020,11522440.0,2931202.0,0.2543907366842439
Greece,2020,10718565.0,208444.0,0.0194470061990574
Czechia,2020,10693939.0,600899.0,0.0561906141413374
Portugal,2020,10375395.0,615356.0,0.0593091636511188
Sweden,2020,10327589.0,1438568.0,0.1392936918771651
Azerbaijan,2020,10067108.0,161918.0,0.0160838644027659
Hungary,2020,9689376.0,452473.0,0.0466978472091494
Belarus,2020,9408350.0,172608.0,0.0183462562510961
Austria,2020,8901064.0,438345.0,0.0492463597610353
Switzerland,2020,8606033.0,694613.0,0.0807123328483634
Serbia,2020,6926705.0,206832.0,0.029860084989905
Bulgaria,2020,6569275.0,347789.0,0.052941762979933
Denmark,2020,5822763.0,176879.0,0.0303771594344471
Finland,2020,5525292.0,91124.0,0.0164921600523556
Slovakia,2020,5457873.0,66667.0,0.0122148316752698
Norway,2020,5367580.0,72511.0,0.0135090674009516
Ireland,2020,5012600.0,460986.0,0.091965447073375
Croatia,2020,3933511.0,156885.0,0.039884215399423
Georgia,2020,3716858.0,88726.0,0.0238712374806893
Armenia,2020,2959694.0,248551.0,0.0839786140053667
Albania,2020,2845955.0,88375.0,0.0310528451785077
Lithuania,2020,2809977.0,59297.0,0.0211023079548337
Moldova,2020,2684772.0,295184.0,0.1099475113715429
Slovenia,2020,2095861.0,118309.0,0.0564488770963341
North Macedonia,2020,2076255.0,194153.0,0.093511153495115
Latvia,2020,1907675.0,22288.0,0.0116833318044216
Kosovo*,2020,1782115.0,0.0,0.0
Estonia,2020,1328976.0,20833.0,0.0156759790996978
Cyprus,2020,888005.0,7726.0,0.0087004014617034
Luxembourg,2020,626108.0,43539.0,0.0695391210462092
Montenegro,2020,621873.0,45312.0,0.0728637519236242
Malta,2020,514855.0,11597.0,0.0225247885326936
